id,uid,text,misinfo
_1241448523784237056,_603231136,"The coronavirus is a antibiotic the earth took to cleanse its self, natural selection if you ask me 🤷‍️",0
_1241087001589239808,_37492862,"Combination of antimalarial medication and antibiotics could shorten COVID-19, researchers say |",0
_1239679753042440202,_155194919,Can’t go to Tenerife because the country is on lockdown. Can’t get a refund because Ryanair won’t cancel flights. Can’t leave my house because everyone thinks I’ve coronavirus. Can’t drink on paddy’s day in my own house because I’m on antibiotics. 2020 is scam.,0
_1237920657784045573,_886503842803789825,Attempting to not totally panic but when you hear that Miller is advising Trump on the #coronavirus & that Tom Hanks has it you tend to panic.. Very long story but I have SLE Lupus I almost died this summer from double antibiotic resistant pneumonia.. …,0
_1242009721919299589,_32824532,"You really are a stupid bastard, aren’t you? Hundreds of Coronavirus deaths have been documented as a result of SECONDARY bacterial infection in those weakened by the primary virus. That’s why the dual treatment of antibiotic Azithtomycin AND hydroxychloroquine is so promising. …",0
_1236312647110397953,_808758,"The Coronavirus Is No 1918 Pandemic - The Great Influenza Pandemic of 1918 occurred in the pre-antibiotic era. Although antibiotics do not treat viruses, they do treat the secondary bacterial infections that sometimes follow. These secondary... …",0
_1244688854629732355,_225320514,"I pray I don’t have Corona I was short of breath, I did have a dry cough I currently can’t smell or taste much excluding salt. I’ve been taking vitamins and the prescribed antibiotics, staying hydrated and resting though.",0
_1238481729440153600,_99909285,"Same day at , his scans showed atypical pneumonia (#CoronaVirusUpdate: the virus leads to bilateral pneumonia). They ran several tests on him & the tests came back negative. So they put him on antibiotics & decided that he DID NOT have #coronavirus. (cc: )",0
_1235436041881829378,_1235199451330945028,"Sir, I think that coronavirus is spreading all over the world. But, I suggest we have to try chickengeune and dengue malaria antibiotics medicine or papaya leaves liquid (juice).tulsi leaves (juice) it protect everybody's form this precaution. I pray to god to save the world.",4
_1237369221828554753,_84219973,"85%of the ingredients for antibiotics come from China. If anything good can come from the corona virus, it is a big WAKE UP call! Our dependence on China for drugs must end..here..now! ⁦⁩ let’s change this! 🇺🇸🇺🇸",0
_1239371973722927104,_707555889947942912,"You know what’s worse than getting two boxes of antibiotics because you’re scared of the coronavirus? Antibiotic resistant, when no other antibiotic will work on you anymore.",0
_1241501731617476611,_4794380322,LET’S DEFINITELY GET EVERYONE TO START STOCKPILING ANTIBIOTICS AND ANTIMALARIAL DRUGS WITHOUT WAITING TO SEE IF THEY’RE EFFECTIVE IN TREATING #COVID19. WHAT COULD GO WRONG?!?,0
_1241805241508450304,_958926375586418688,You really are a stupid bastard aren’t you? Hundreds of Corona deaths have been documented as a result of SECONDARY bacterial infection in those weakened by the primary virus. That’s why the dual treatment of antibiotic Space AND hydroxychloroquine is so promising. Copy sebby …,0
_1242641746380513280,_35157641,Antibiotic resistance: the hidden threat lurking behind Covid-19 - STAT …,0
_1240685297924329472,_68293242,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration – TechCrunch …,0
_1243436353746075650,_819909728889405442,This man says Antibiotics are preparing for treatment of Corona (viral disease) …,0
_1239773464438943744,_542739308,"Hello Doc So about the Corona virus,they treat u with flu and cough medicines like antibiotics??And just keep u hydrated?",0
_1239553551090802692,_859672329466429441,"Treatment for coronavirus There is currently no specific treatment for coronavirus. Antibiotics do not help, as they do not work against viruses. #LetsFightCorona",0
_1244056685892833285,_865680475,"YES - ""There is no evidence that anti-malarial, antibiotic and HIV and other anti-viral medications are effective in prophylaxis or treatment of COVID-19, [...] We ask that you not prescribe these drugs to treat COVID-19 pending further evidence-based recommendations.",0
_1245136352213118978,_704096483688075264,"I can't take this much longer. Every day, more ppl have this horrible thing. I've cried all day. I'm on antibiotics (for sinuses) & I always think I'm getting it. This virus is not discriminating. It's a vicious bitch. And I'm scared. Mass graves?! (1) #COVID19 #StayAtHome #Help",0
_1238200029837266944,_1917941839,"My dad is too funny, I told him to be careful because of the Coronavirus and he said to me “I got antibiotics I’ll be fine”",0
_1244506232528023553,_2597581166,The Georgian national COVID-19 guidelines include hydroxychloroquine treatment for moderate to severe cases + antibiotic therapy to prevent secondary infections. So far Georgia had 91 confirmed cases (6 in critical condition) with 0 deaths and 18 recoveries 🇬🇪 #Hydroxychloroquine,0
_1241440420267085824,_1233846386468110341,ZITHROMAX (AZITHROMYCIN) ALSO WORKS I EARLY CASES WITH COUGH AND THIS ANTIBIOTIC ACCUMILATES 100% IN CELL AND INHIBITS 50sRIBOSOME IN CYTOPLASM INHIBITING RELEASE OF CYTOKINES BY CORONA.I USED GOT BETTER.THANKS TO DR RAVI MY FREIND,1
_1241038470052827138,_941880138727387136,COVID19 isn't catching on in populations where malaria is common...malaria medication coupled with lung antibiotic azithromyacin (for bronchitis) and melatonin seem to be curing the virus... …,4
_1223380577358876673,_3761298016,"Get ready folks-SHTF, or aka Shits About To Hit The Fan die to this coronavirus....stock up on canned goods, water, ammo, first aid gear, non-prescribed-natural remedies and antibiotics like colloidal silver, oil of oregano, turmeric, etc....when and if martial law is declared...",0
_1235224695965802496,_606496651,Take Oregano Oil or Oregaresp p73 powder capsules to battle corona virus antibiotics wont kill the virus - Dr. Cass Ingrim,0
_1228723476606771201,_1110207234141609984,"China supplies nearly all US medicine – incl penicillin, antibiotics, Vitamin C and virtually every generic prescription & over the counter product - per Author Rosemary Gibson, Steve Bannon Ep 15 #COVID19",0
_1238501949944856577,_41159844,Dr Bill Deagle MD COVID19 Report - Origins Of Coronavirus - A Superbug Bioweapon With HIV Characteristics - Bioweapons And Biolabs Not 'Sealed/Safe - Humanity Is Creating Seeds Of It's Own Destruction Via Superbugs With Built In Immunity To Antibiotics,4
_1244022000953094146,_1066551941243662336,Make sure their physicians let them try the * miracle* Malaria drug/Antibiotic combo that's curing people infected with COVID-19... …,0
_1244082519701516288,_1244075626614513666,"Antibiotics with antiviral properties may help the fight against covid-19. If we can reduce the significance of covid-19 to the level of the common influenza, the necessity of social distancing will end, the economy can return to normalcy.",0
_1240732389657186306,_1580900670,Covid-19 had better be like Flu virus if it wants to stay in Nigeria; where we just jejely take our antihistamines and vitamins - with some adding antibiotics - then allowing the disease to take its course as our immune system do the wonders.,1
_1239919563959152645,_800913234383536128,"Perspective: thank science for modern urban lifestyles. Think of smallpox, polio, diphtheria, cholera w/o antibiotics, vaccines, and public sanitation. Imagine how many would die in comparison to covid-19 and the flu (at least 12,000 in the 1st 4 months of the season).",0
_1240530998665895936,_1218577440865509377,"#BewareOfCOVID19 However, if you are hospitalized for the 2019-nCoV, you may receive antibiotics because bacterial co-infection is possible.",0
_1235542250182119424,_792128661474476034,"Connor Reed, a Coronavirus victim, expressed how the media exaggerated the honey and whiskey mix to be a “cure” when he actually relapsed a few days after. After relapsing, Connor used Tiger balm and kept the antibiotics prescribed on reserve.",0
_1237002038858469378,_963737505152544769,I don't trust China one bit and I truly hope that after this Corona/Wuhan Pneumonia/Wuhan virus passes we can work together here as a nation to end the medical reliance on our GREATEST threat/adversary. How we got here is beyond reason. 95% of antibiotics made in Red China?,0
_1235694907555221510,_3276660752,"New airplane snack, antibiotics. #coronavirus",0
_1220418529469587458,_1218962905279844354,"“facts that health scientists have narrowed down: That it causes pneumonia, that it doesn’t respond to antibiotic treatment, and that it is confirmed to spread via human transmission” Coronavirus: What You Should Know via",0
_1241294979244396546,_1109874360066686978,Coronavirus: Anti-malaria drug plus antibiotic may offer relief … via,0
_1233533966310871042,_1067073067787214850,#Coronavirus #pandemic #Trumpvirus I'm treating my body with the best antibiotic God put on the planet... I shall be the last man standing! JOIN ME? …,0
_1240988631243862022,_1695298952,"This is bad. He presented to Milton hospital on March 6, but was sent home with antibiotics. 5 days later he went back to hospital and was tested for COVID 19. The test results didn’t come back until he had already died. Good news is, once he got in hospital they took COVID 19 …",0
_1235769692087898115,_61102781,Live updates: Coronavirus cases rise across the world Is it true India has stopped exporting medicine & antibiotics to the USA to save for their residents. Do we have a drug shortage in the USA?,0
_1240623075051352066,_481506036,"A drug developed over half a century ago to treat malaria is showing signs that it may also help cure COVID-19 — especially when combined with an antibiotic, a new study by the Clinical Infectious Diseases journal revealed.",0
_1225808990497624064,_380648765,Nancy P hold hearings on world food/ disease food chain. India and China have been feeding this monster Coronavirus our strongest antibiotics for 10 yrs. Allows animal crowding on feedlots. Don’t just dump on agency desk. …,0
_1241954574182674432,_3238461480,"first of all, covid-19 ni is viral infections, berbeza dengan bacterial infections. kalau bacterial infections kita ada curative treatment Which is antibiotics but viral infections usually takde curative treatment, kita hanya merawat symptoms je, …",0
_1240246198994210817,_2262648458,The world is healing. Probably we're the virus 🤔 COVID-19 is the antibiotic for the world to heal itself.,0
_1233198493440802816,_34613951,"The prospect of a coronavirus pandemic will strain the pipeline for antibiotics, a network that's heavily reliant on components from China.",0
_1241427918817017858,_40249083,"COVID-19 is a viral infection, in which people are dying from also having bilateral pneumonia. If the pneumonia is a bacterial pneumonia, caused from opportunistic pathogens, then yes - an antibiotic would show success in fighting the bacterial aspect of the sickness.",0
_1235290193327947780,_808387,SARDI/BROXMEYER INTERVIEW: Why are Antibiotics & Not Anti-Virals Quelling the COVID-19 Coronavirus? Is It Really A Virus? …,1
_1243939478336606208,_950805805187653633,Profile of patients Covid-19-P Mean patient age: 49 to 55 Males: 54 to 73% Smoking: 4.5% to 22% Comorbidity: 31% to 47% Fever: 83% to 99% Dyspnoea: 31% to 55% Oxygen:66% to 77% of cases Antibiotic: 80% to 100% Antiviral therapy: 46% to 95% #coronavirus …,0
_1241413479774343174,_412543037,"Although antimalarial treatments a particular antibiotic have been anecdotally showing promise for Covid19, PLEASE do not self medicate. Blindness can be a consequence of taking antimalarial medication +many people rely on the supply of these drugs, permanently. #coronavirus …",0
_1240710575115489280,_49172121,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration | TechCrunch …,0
_1242600393294729216,_462940679,"Essential life saving gear to save American lives must be #MadeInUSA to ensure a reliable supply chain. That’s masks, respirators, antibiotics, the works. Where is the on this as the city it calls home is overcome by #coronavirus ?",0
_1231957130355314690,_156213960,The price of many mainstream antibiotics has risen by 50%- as ingredient prices have doubled. #China #2019nCoV #logistics #supplychain #retail #manufacturing #import #export #coronavirus #internationalfreight #covid19 #pharmaceuticals,0
_1243971506843127809,_2719170899,"While I don’t understand the chemistry of a malaria drug and a broad-spectrum, synthesized antibiotic, the combination seems to be an effective treatment for COVID-19. Let’s use it. …",0
_1238203545062707201,_941342979968692225,"Also on this podcast, alumna and #AI scientist Regina Barzilay PhD'03 explains how her approach using deep learning to discover new antibiotics might also be applied to thwarting the #Covid_19 outbreak …",0
_1244961534247407621,_218703158,"Have we gone to sanitary and doctors prescribing too many antibiotics that it is suppressing our immune system to fight off virus like the Corona. Think about it. How do we build up immune system if we not exposed to yes viruses, bacteria etc...",0
_1240643385289039872,_824204449,Thank your local #pharmacytechnician for all the work they do on the front lines of this #pandemic #ivcompounding #antibiotics #coronavirus,0
_1239720412402995200,_1184912302128058368,Things which are useless in across the world... 1: antibiotics against covid 19 2: anti terrerist force of Pakistan 3: facts in front of Kim Jong . 4: supreme court of India. #RafaleScam #AYODHYAVERDICT,0
_1241515242904903680,_21024465,"I bet did some research into this so not sure why David Rothschild, and media are so against a cure? French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration – TechCrunch …",0
_1232493591773270021,_4510168103,"Since we're talking about funding the cdc. Reminder: over the next 50 years Antibiotics will lose most of their efficacy, and we should be funding more research. Meaning it will only get worse. #DemDebate #coronavirus",0
_1240900706351099904,_35845148,All I will tell you on twitter is to seek antibiotics for pneumonia they used to prescribed by doctors in emergency rooms around the world in the old days. It kills the Corona Virus or flu Virus attacking your lungs to cause Pneumonia ( Chewing them works faster and better),2
_1238857646649815040,_1227526612318638080,I’m beginning think that it was the Coronavirus I picked up few weeks ago. All same symptoms but because I told GP I hadn’t been abroad it been in contact with someone just back it was cheer infection. I only got well through a 5 day course of antibiotics. I’ve never felt,0
_1242370636686618624,_1242364761133596674,"Fir COVID -19 i have one suggestion ... Plz consider if it works... I recently saw DOGS CANNOT AFFECTED BY COVID19... As like ""edward genner"" pox virus vaccine found by cows, y we cannot able to use dog's antibiotics to generate vaccines sir? Jai hind 🇮🇳🇮🇳🇮🇳🇮🇳",4
_1237958977033551872,_2872837684,"WE ARE ALL DOOMED!!! #CancelEverything ""feels like a mild cold""....""Worse symptom was the fever""...""no antibiotics for this"".... ""They have been pumping me full of Gatorade"" Coronavirus patient from Diamond Princess explains what the illness feels like …",0
_1242584886755483648,_293545521,Antibiotic resistance: the hidden threat lurking behind Covid-19 Something that cystic fibrosis patients have dealt with for their whole lives? … #Cysticfibrosis #CF #AntibioticResistance #COVID19,0
_1243736718907305984,_228060788,HYDROCLOROQUINE promising/safe&for advanced cases in combination w. antibiotic In Vitro Antiviral Activity and Projection of Optimized Dosing Design of Hydroxychloroquine for the Treatment of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).-->,0
_1241055238213287942,_108705754,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration – TechCrunch …,0
_1236749818455830528,_3303028623,"The Coronavirus is a virus, not a bacterial infection. Please stop taking antibiotics as a preventative measure. YOU ARE PUTTING IMMUNODEFICIENT PEOPLE IN DANGER.",0
_1234121959027412992,_968224784,Coronavirus is no joke. It WILL kill people with compromised immune systems. Antibiotics are never used for viruses. Just like the flu. Be smart. Be safe. Have compassion #CoronaVirusUpdate,0
_1241454370560126976,_1227853443580166144,"Trump is pushing hard for a COVID19 cure that includes an antibiotic, made in Melania's Croatia. Trump or his wife, probably owns stock in the Pliva Company. But a SUPERBUG was produced there. The one we have been warned about for years! Is this COVID19? Trump is compliment. …",0
_1242797283302952960,_990964875760455685,Is this true ??? “”””The FDA cleared the way for New York to experiment with the malaria and lupus drug hydroxychloroquine and the antibiotic Zithromax (generic name azithromycin) as a treatment for COVID-19””””,0
_1241407474646867974,_1071896482415034368,‍️‍️‍️ Azithromycin is an antibiotic. Covid19 is a virus. Trump is basing this on the positive outcomes of 6 patients in France. Hardly the sort of figures required send a tweet like this. Irresponsible. But unsurprising. …,0
_1243302441816391680,_117764657,Antibiotic resistance: the hidden threat lurking behind Covid-19 - STAT #coronavirus …,0
_1240441217604710401,_480135960,A common antibiotic and a malaria drug invented in the 1940s given in combination have shown effective in reducing COVID-19 infections in seriously sick patients. Azithromycin boosted the effect of hydroxychloroquine to form the cocktail. …,4
_1241087760569597953,_491183447,#coronavirus antibiotic is only ayurveda.. Use your grandfather's ayurveda formula to avoid corona.. Find the antibiotic from ayurveda.. Mulund East …,4
_1239799278534643713,_751039878322917376,"Tell me if you get sick, there's a Ash Vaccine the ultimate in antibiotics + anti-inflammatory #innerspace #covid_19 #cure #ashwilliams #horror #horrorfan #horrorcomedy #horrorparody #horrormemes #horrorpost… …",0
_1240628598484197376,_1127636110933360642,"#Retweeting #CoronaVirusUpdate #Solidarity #StaySafe #Remember, #ANTIBIOTICS DO NOT WORK ON VIRUSES. #coronavirusGLOBAL #CoronavirusOutbreak #CoronavirusPandemic #coronavirus #COVID2019 #COVID #COVID19 #COVD_19 …",0
_1240412824129732608,_2464952325,I struggle with going out because I'm on antibiotics and a steroid and I don't have COVID19 but I sound sick and it's just hard... The glares and stares,0
_1244012396336865280,_475437475,Spot on! We can bring something positive out of this #Coronavirus crisis by diminishing our dependence on China. When we look to them to provide our life-saving medications/antibiotics...something’s very wrong! …,0
_1239198571024592901,_254740963,If you are seriously concerned about the Wuhan virus you need to get some of this stuff. I have not had a flu shot or needed antibiotics for decades since I started using it.,4
_1244250481267900416,_823552739971977216,My sister in law’s father has been admitted to hospital with double pneumonia. We’re waiting for his #Covid_19 test to come back-hopefully it’s -ve so we know the antibiotics they’re giving him will work. 🤞 I dont think it will be though. He’s 85. ️,0
_1234808009487941633,_3873984133,"India, the world’s largest maker of generic drugs, has placed restrictions on the export of some common medicines including paracetamol and a common antibiotic as concerns grow over shortages due to the coronavirus outbreak. …",0
_1233871820589109248,_240837112,"#COVID19 I’ve been called a catastrophist, being so upbeat and all. But ponder this, 1) most cases of viral respiratory infection are followed by often fatal bacterial infections ( …) 2) antibiotics are in short supply ( …) #auspol",0
_1237251355078582282,_406483952,98% of our antibiotics are made in #China Our face masks are made in #Wuhan Makes you wonder where the toilet paper is made... 🤣🤣🤣 #WuhanVirus #ChinaCoronaVirus #ChineseFlu,0
_1241445960187871233,_100986964,US coronavirus: #Trump asks FDA to immediately approve malaria #drug and antibiotic combo - Mar 21 3:23 PM ET …,0
_1240566586668396549,_3297088283,After all these years of studying micro biology how can you say antibiotics cures coronavirus,0
_1240754061223301121,_1219023371691855873,"Old malaria drug invented in the US in the 1950s may be the cure for Coronavirus? Sounds promising in the tests. With antibiotics it seemed to kill the virus. I thought I had a malaria shot years ago. Those 6 shots at a time may have done me good back then. Please, no shots.",0
_1240745253490970624,_191723646,French study finds anti-malarial and antibiotic combo could reduce Chinese coronavirus duration …,0
_1242216179650920449,_35891132,Wait did Trump just say about Z-Pak aka Zithromax helping to cure the covid-19...along with Hydroxychloroquine? Zithromax is an antibiotic that treats bacteria infections. It doesn't treat viruses. Why am I listening to things that aren't true? 🤔,0
_1235652218512162817,_89517375,$CORV HUGE Coronavirus Cure? A team of researchers at Norwegian University of Science and Technology found four antibiotics that treat staph and skin infections have been able to stop the virus in lab tests. One of the drugs... …,1
_1221841573865869312,_1063678879024508930,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)? A: No, antibiotics do not work against viruses, only bacteria. The 2019-nC0V is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.",0
