id,uid,text
_1234573796750872581,_2758766167,#Coronavirus - “Saying #antibiotics could treat this is actually dangerous. Especially if people start believing it”
_1234843189087031300,_2813287229,"India restricts exportations of some APIs and formulations as #COVID19 fears grow, eg. #antibiotics (metronidazole, erythromycin, chloramphenicol...) but also paracetamol. Need to make supply chains more resilient - shortages can drive #AMR. …"
_1234931591782244354,_807095,"The coronavirus outbreak has hobbled Chinese factories that supply India’s vast drug industry with ingredients for antibiotics and vitamins, raising the prospect of global shortages of essential drugs"
_1234943666411786241,_20562637,The US could face shortages of crucial medicines like antibiotics and a heart drug because of the coronavirus. Here's what you need to know. …
_1235102705607049217,_807095,"The coronavirus outbreak has hobbled Chinese factories that supply India’s vast drug industry with ingredients for antibiotics and vitamins, raising the prospect of global shortages of essential drugs"
_1235175599687294976,_95843758,"My husband's doctor couldn't do a proper #covid19 screening without a travel history in Switzerland. So he got antibiotics for his atypical pneumonia. If he gets better, he doesn't have it. That's what's going on over here."
_1235257647718428673,_38117685,"Related/unrelated to #COVID19: We've been warned about epidemics we cannot treat due to antibiotic resistance for years now. Mass animal ag + our consumption of antibiotics directly & indirectly via these animals brings us closer to that possibility, daily …"
_1235459301382270977,_384787749,"'Coronavirus outbreak has led India to restrict export of dozens of drugs including paracetamol & various antibiotics, leading to fears of a global shortage of essential medicines'"
_1235482588128727040,_902200087,Imagine surviving the corona apocalypse and dying from strep throat because you were too good for fish antibiotics. …
_1235637507808800768,_27463089,"I’ve had the text from my CF Team about the Coronavirus - advising me to get antibiotics on standby from my GP, nothing else mentioned but will definitely ask more questions on Tuesday at clinic #CysticFibrosis"
_1235735411919441920,_21416777,I have never been 'boy in the bubble' I live like cockroach-expose myself 2all&everything-so I develop an immunity-live strong 4ever-like the mighty cockroach-no stupid man made drugs/antibiotics 2weaken immune system-coronavirus-bring it-I dare u-I will conquer you like them all
_1235901698633129984,_87775422,Artificial intelligence is leading the battle against the growing antibiotics crisis. #coronavirus #COVID19 #AI
_1235903064063778816,_3059457425,Artificial intelligence is leading the battle against the growing antibiotics crisis. #coronavirus #COVID19 #AI
_1236190031091359744,_608356354,BuildTheWall: Open Boreders w/Free Healthcare Will Kill Americans Off -coronavirus Trump: Taking Back Pharmaceuticals as China owns all the Antibiotics & Open Boreders w/Free Healthcare Will Kill Americans #trump2020slogans
_1236468189397012480,_1311351074,"It seems that 6000 people now follow me on Twitter. If you are a new follower, I’m afraid you’re finding me in a new ""angry-about-US-COVID-19-response"" phase. Usually I tweet about antimicrobial resistance and antibiotic development with proportionally more snark than anger."
_1236677645087186944,_924921596602732544,So now this y'all. I know a lot of you are sick of hearing about #COVID19 and so am I but this virus kills. Antibiotics will not cure this as if it were the flu. So until people stop dying because of this. I'll stay concerned. …
_1236706070132862978,_2253297418,"Because the Coronavirus is HUGE, I'm selling my antibiotics from 2009 for $750 a pill."
_1236749818455830528,_3303028623,"The Coronavirus is a virus, not a bacterial infection. Please stop taking antibiotics as a preventative measure. YOU ARE PUTTING IMMUNODEFICIENT PEOPLE IN DANGER."
_1236903384151515138,_49616273,"A 2-year-old #COVID19 patient in #Shanghai was discharged from hospital on Mon. Doctors said most #children show mild symptoms & have longer average #incubation period than adults, ie 6.5 vs 5.4 days. Unless critical, antiviral drugs or empiric antibiotic therapy are not needed"
_1237029629224824832,_3267456386,"Tucker Carlson On Combating The Coronavirus ""We need a modern Marshall Plan, one designed to rebuild essential American manufacturing. We should start tomorrow with medicine & technology to fight the coronavirus & then with antibiotics."" …"
_1237068132591665154,_15948159,"Thanks to #AI, a powerful new antibiotic was discovered: -- #artificialintelligence #research #coronavirus #pharma #medicine"
_1237172404599783424,_3416492723,"I like to know if someone has coronavirus in USA , what are they giving them to recover ? In hospital or home ? Antibiotics?! & plenty of fluids?!"
_1237189434153603072,_1219894782,I’d be happy to kiss someone on the lips whose been diagnosed with the Corona virus.. I won’t die. I’ll take antibiotics & be fine in a day or two. Stop the BS. No American Child has died & they won’t. Elderly & compromised people are at risk. NO ONE ELSE. Stop this BS. Idiots 🤬
_1237251355078582282,_406483952,98% of our antibiotics are made in #China Our face masks are made in #Wuhan Makes you wonder where the toilet paper is made... 🤣🤣🤣 #WuhanVirus #ChinaCoronaVirus #ChineseFlu
_1237257609029144576,_129705856,"“The recent outbreak of novel coronavirus has threatened the domestic supply of some 150 prescription drugs, including antibiotics, generics, and branded drugs. Some of these drugs do not have alternatives on the market.” --Sen. Josh Hawley …"
_1237364477772861443,_2357190571,"From my observations, Coronavirus actually started spreading in US back in end of November. Many people at mini Emergency Room clinics with ""unidentified respiratory illness"" that antibiotics didn't help from Northeast US to Southwest; and they recovered... …"
_1237383589752340486,_50751545,"Been to see the doctor. Good news, I don’t have coronavirus. Bad news, I have a chest infection and an irregular heartbeat, whatever that is. Tests on Friday after the antibiotics have kicked in. Have any of my followers had the coronavirus test? My doctor is not doing them yet."
_1237389846101950464,_1178691855342620672,"Ugh. I'm sick. NOT coronavirus. Not the same symptoms, per my doctor. I just have a bog standard sinus infection. It's all rest, irrigations, and antibiotics for me. Blah."
_1237414756283269120,_2357190571,"From my observations, Coronavirus actually started spreading in US back in end of November. Many people at mini Emergency Room clinics with ""unidentified respiratory illness"" that antibiotics didn't help from Northeast US to Southwest; and they recovered... …"
_1237464069629599745,_3242842014,"“ WHO has made it clear that there are currently no known effective treatments for COVID-19 and does not recommend the use of antiviral drugs or antibiotics. Despite this, there have been reports of the use of antivirals & antibiotics ...” …"
_1237674904369221632,_1002670048698396672,"As The #Coronavirus Spreads, Americans Lose Ground Against Other Health Threats #Features #Covid19 #Vaccine #Antibiotics #Tobacco #Ecigarette #InstitutionalizedOppression #AccessToHealthcare #LizSzaboKaiserHealthNews Answer Addiction"
_1237783711560712194,_38117685,"This comparison may trigger some, but I strongly believe it's worth your consideration: If we don't like #COVID19 vibes, we aren't going to like the next pandemic due to antibiotic resistance from animal agriculture. Please. Consider reducing your intake."
_1237824793111605250,_2357190571,"From my observations, Coronavirus actually started spreading in US back in end of November. Many people at mini Emergency Room clinics with ""unidentified respiratory illness"" that antibiotics didn't help from Northeast US to Southwest; and they recovered... …"
_1237856120896540674,_1223397450,Is everyone going to be able to afford antibiotics to fight Covid-19? Prescriptions are a right not a privilege or luxury item! …
_1237859234206736385,_3242842014,"Found an answer to my question if #COVID-19 can cause bacterial pneumonia? “Treat other infections from COVID-19 such as concurrent bacterial pneumonia because lungs are not functioning as well as they can. In this case, clinicians will use antibiotics.” …"
_1237910000107847680,_1159668149945434112,"Trump is either a phucking coke addict or he has Coronavirus. My guess is he went straight back to his ventilation machine. People this is a viral pneumonia that can't be treat with antibiotics, because it's not bacterial 🤷‍️"
_1237910073151815682,_2201449066,Time to become independent for pharmaceutical (antibiotics) & medical supply manufacturing. Tucker Carlson: Spread of coronavirus is revealing a 'terrifying situation' #FoxNews
_1238092930277048320,_850438410171035651,I just saw a statistic showing that 97% of our antibiotics are made in China. Along with most of our pharmaceuticals and items of vital importance. Why? We need to bring manufacturing back to the USA and Chinese coronavirus is just further proof of that need!
_1238109385915858944,_329270165,After 8 weeks of having a ‘virus’ - I’m finally getting antibiotics. Bloody knew I had an infection (nothing to do with COVID-19)
_1238129047386951680,_737362108397060096,"The following measures ARE NOT effective against #COVID19 and can be harmful: Smoking Wearing multiple masks Taking antibiotics In any case, if you have fever, cough and difficulty breathing seek medical care early …"
_1238226321161027588,_2357190571,"From my observations, Coronavirus actually started spreading in US back in end of November. Many people at mini Emergency Room clinics with ""unidentified respiratory illness"" that antibiotics didn't help from Northeast US to Southwest; and they recovered... …"
_1238327987940057088,_19929890,With markets in tumult how badly will economy be jolted by #Corona. That & more basic questions like whether India should be worried about an Antibiotics shortage. The very informed takes all these questions on #Mojo. Full interview is up here
_1238461397845106688,_1187668770791346179,So yhe Wuhan virus 🦠 causes bilateral pneumonia and untreatable with antibiotics because it’s a virus 🦠
_1238466469551378438,_1360615250,"As I said, supply chain disruptions are likely in critical areas like antibiotics production due to China’s #WuhanVirus … …"
_1238497144815968256,_373474887,With the #Coronavirus chaos people need to understand that unless they buy organic most are consuming foods drenched in Glyphosate an antibiotic with every meal weakening their immune systems #AntibioticResistance …
_1238513024555679746,_25202268,"Coronavirus: China 'has us by the throat.' Majority Of U.S. Drugs Manufactured Off-Shore #TheSaraCarterShow #newpodcast ""It's unacceptable that the Chinese have us by the throat and make 95 percent of our antibiotics,"" Dr. Ramin Oskoui … via"
_1238519928816361472,_14828860,"#Coronavirus highlighting our dangerous reliance on #China: ""Chinese pharmaceutical companies have moved in and taken over, supplying between 80 percent and 90 percent of U.S. antibiotics, 70 percent of acetaminophen and about 40 percent of heparin."": …"
_1238640150982397953,_1113270837346537472,"In their state newspaper, China has threatened to flood USA with the Coronavirus. They are also threatening to withhold drugs that are manufactured there, including antibiotics and pain meds. bring our supply chain home! And dems love China!"
_1238687608651141120,_455275940,"How to motivate Canada: World: We need to find a solution to this COVID-19 NHL: We're suspending the 2019-20 NHL season. Canada: (about 6 hours later) Okay we isolated the virus! Let's get that antibiotic research going! NHL: You're welcome, world. …"
_1238773366456188930,_46671396,.: 97% of all antibiotics sold in the US come from #China. No one should be comforted by the Chinese government's decision not to exploit that market position during the #COVID19 outbreak. #coronavirus
_1238817946597613568,_5988062,Regina Barzilay's work at uses artificial intelligence to develop antibiotics to fight infections. Could it be used in the search for a covid-19 vaccine? finds out on “Babbage”
_1238904383980449792,_899144939552026624,Antibiotics won’t help. Seeing your doctor won’t help. Testing won’t help. Excess rolls of toilet paper maybe the solution. Coronavirus symptoms: what are they and should I see a doctor? | Coronavirus outbreak | The Guardian …
_1238922018969583617,_849111344116838400,Trump Halts CDC Fearmongering. But Why Are Antibiotics & Not Anti-Virals Quelling The COVID-19 Coronavirus? Is It Really A Virus? …
_1239257787504492545,_933139523390836736,"It took 8 yrs of the awful Obama presidency to REVEAL we were losing our Nation, the Covid-19 to EXPISE our loss of self sufficiency (dependency on China for antibiotics +more); but, it only took faith in ourselves & electing Pres Trump to take our country back. We will win... …"
_1239297996233326594,_820694,"ANTIBACTERIALS ARE NO SUBSTITUTE FOR SOAP & WATER they only kill bacteria and indiscriminately. they are why we have had an antibiotic resistance crisis for ±15 years. if water & soap is too inconvenient, you are a dangerous #COVID19 vector and should be in social isolation …"
_1239355198914605057,_765255265503543296,"Patient: I've been sick for 5 days, I need an antibiotic. Dr: Writes script. = Antibiotic resistant bacteria Patient: I need a coronavirus test. Dr: Okay. = Health care system overwhelmed and those at risk and sick can't get care."
_1239386984331739136,_1157695156948258816,#SARS_COV_2 #Covid_19 #TheInfectiousDiseaseContol Orgin #China Where Does Our Antibiotics Come From...#China #ChinaIsABioWeaponTerrorist …
_1239456493277151232,_2645623692,Half of #COVID19 Wuhan fatalities had respiratory bacterial co-infections requiring antibiotics … Imagine if/when those antibiotics didn’t/don’t work in #Cov19 & other patients with complex polymicrobial infections?? Global pandemic + #AMR.....
_1239465173762691073,_164263382,Are antibiotics effective in preventing and treating the new coronavirus? Are hand dryers effective in killing the new #coronavirus ? Here is some good myth-busting advice for the public: #COVID19
_1239584934542655490,_29292353,"My #pulmonaryrehab closed until March 30. Good call! High risk lung disease & cardiac patients, many living in retirement homes. I haven’t been in nearly 2 weeks as I’ve been on home IV antibiotics for #cysticfibrosis. #CLT #COVID19"
_1239597773282054146,_3960732195,I remember in Jan I had the worst Upper Respiratory infection ever. So much green mucous. I wander if I had the wuhan virus. My SAT was 94% which was low. I had to get antibiotics it took me over 1vmonth to get better. If the virus was created in Nov who knows?
_1239603221049442304,_611986351,My Corona predictions: Olympics cancelled. Elections postponed. Stock markets halted. Banks rationing withdrawals. Health care system collapse. Rise of antibiotic resistant bugs. Shortages of life saving drugs. Prison riots & mass breakouts. Law & order collapse. Military rule.
_1239627063650377731,_611986351,I’m most worried about antibiotic resistant super bugs. Coronavirus and the impending collapse of the health system combined with overcrowded hospitals may cause the rise of incurable infections. Humanity is at the brink of its biggest health crisis and it isn’t even Coronavirus.
_1239650085287452672,_592993491,"I'm home y'all. Thankfully, I tested negative for COVID 19. I'm still sick but the past couple of days have been nonstop IV antibiotics and we atleast have the infection in my arm under control. Meeting with my doc on Wednesday to figure out what to do about my lungs."
_1239848115747913728,_2758766167,#Antibiotics don’t cure #COVID19 . How many more times do we have to say it?
_1239947126240620544,_3288561903,"Hey NY followers, please RT and share this action alert! Help us pass this bill! The coronavirus shows that we need to take public health actions before an emergency happens, and antibiotic-resistant superbugs could constitute such an emergency. … #NYC"
_1239960054847004674,_1034464844265803776,Infection prevention is one of the best things we all can do to slow the spread of covid19 AND antibiotic resistance. We all have a role. …
_1239981855488618496,_718016318214053888,I’ve been sick for 6 weeks with the worst Flu I’ve ever had! I’ve had a fever several times! Seen the Dr. twice! On antibiotics again! I woke up this morning & I physically couldn’t get out of bed! I wouldn’t know if this is COVID-19 because I can’t get tested anywhere!
_1239987152529903618,_2275337142,"Today I saw a 59 year old female previously treated with oral antibiotics by PMD, never improved, then hospitalized for IV antibiotics, discharged home. Now readmitted, suspected COVID-19, CT chest has ground glass opacities, confirmatory test pending... how many are we missing?"
_1240194382617358338,_384787749,"'From coronavirus to antibiotics: the ways we use animals ""still risks spreading disease""' #StopSuperbugs #OneHealth #COVID19 #AntibioticFootprint …"
_1240196322789072896,_125403342,️ Antibiotics won't prevent or treat #COVID19. For more information and guidance on #coronavirus ️
_1240284783663595521,_2325704833,#Coronavirus SRAS-CoV-2 Clinic Trials Results Hydroxychloroquine + Antibiotic Azithromycin as a Promising Treatment to Fight #COVID19 [Video] Paper soon v/ IHU Mediterranean-Infection Hospital & Research Centre - Marseille France Cc
_1240313979311927299,_2357190571,"Been saying for a while now that the Coronavirus started spreading across the USA in late November. People were flooding mini emergency clinics with an ""unidentified respiratory illness,"" that antibiotics couldn't cure; and guess what people recovered... …"
_1240349605004533764,_972166204298231808,OMG why give airtime to a family that say they've got coronavirus but they say they've had antibiotics from the doctors because they had a chest infection........corvid19 is a virus and isn't cured by antibiotics 🤡
_1240368959293095943,_605641377,"Let me be honest. I think the #coronavirus has been here since Nov. I got sick and couldn't get rid of it. Took antibiotics, and all kinds of meds from the doc and nothing worked. Until I took some Buckley's. Got it off Amazon, only sold in Canada now.🤷‍️"
_1240442856294227968,_734168909553766405,"Good Night USA🇺🇸 KickAzzPatriots Followers All Affected By China CoronavirusPlease Everyone Wake Up 85% Antibiotics,Supplies Are MadeinChina!Why In Hell Is Corrupt Dem's,Fake Media Blaming Trump?Obama,Biden Responsible! Why Did Biden Get 1.5Bil From China! Are You TRUMP2020"
_1240487644276154368,_1046173159580479490,Here's a tweet. u stood in LINE Costco WA (vs. delivery) come home to rant re people/co's not distancing. 3hrs later state ur sick. Now u state Dr said u have symptoms of covid-19 (of course!) & gave u ANTIBIOTICS. Antibiotics. Good luck w/that. #Hypocrisy $tsla #CostcoDelivery
_1240637912523431944,_923117164181176320,"“You think if you’re Italy or Switzerland or Germany or Australia, you really want to have your antibiotics produced in China when this is all over?” Victor Davis Hanson says China's handling of coronavirus 'ruined their international brand' | Fox News …"
_1240657892119740416,_816653,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration by
_1240672953987002368,_66590132,Open-label pilot trial found that hydroxychloroquine (antimalarial drug also used for lupus) has shown great promise in the treatment of COVID-19. Addition of the antibiotic azithromycin w/hydroxychloroquine was even better. More RCTs to confirm underway. …
_1240686076009705474,_2758766167,#Coronavirus Read our CEO blog on why we need new antibiotic treatments quickly as our existing #antibiotics may no longer work. HALF of the patients who perished in Wuhan “had a secondary bacterial infection leading to #sepsis and death”
_1240704151501164545,_1182677749636272129,"#azithromycin When I get my bronchitis issues that may lead to pneumonia, my PCP gives me this. Knocks it out in a few days! This is one strong antibiotic and good too! #COVID19"
_1240738572883374090,_46671396,.: 97% of all antibiotics sold in the US come from #China. No one should be comforted by the Chinese government's decision not to exploit that market position during the #COVID19 outbreak. #coronavirus
_1240763734429175811,_1020405030791319552,"Yea, so remember when I thought i had COVID19 back in January? And my doctor could not figure out what I had? And they prescribed me an antibiotic? This was the one I was prescribed, which has antiviral properties. And they want to use it for COVID19. …"
_1240888963931480071,_32951375,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration via #Coronavirus #COVID-19
_1240967608532426752,_1651522832,️Study of 30 #coronavirus patients in #France shows preliminary evidence that a combo of hydroxychloroquine (anti-malarial) + azithromycin (antibiotic) may be effective in treating #COVID19 with reduced duration of respiratory viral load. …
_1240991993297137664,_312149882,"Coronavirus: Combination of antimalarial medication and antibiotics could shorten COVID-19, researchers say via"
_1241011289968828418,_3130656076,CORONAVIRUS PREVENTION: Antiseptic maker gives immigration Service antibiotic soaps #AdomNews
_1241047344541503488,_1034464844265803776,"Here some things you can do to protect yourself and others from COVID19 and antibiotic resistance: wash your hands more often, use soap and water for 20 seconds, or use alcohol based hand sanitizer. For more on good handwashing technique, visit:"
_1241388395814891521,_181532763,Guaranteed Jared already invested in the companies that make these drugs or has an ownership interest. Posting this is madness. One of these drugs is an antibiotic. Coronavirus is a virus.
_1241410643850387457,_617196939,"WHO: The new coronavirus is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment. #CoronavirusPandemic"
